poi_id,category_id
27426698,311
28146549,219
32716620,202
33086189,48
25245942,48
29330172,56
32983569,308
34242790,48
11853028,48
27698479,48
25068019,72
33674630,312
28559269,48
34212476,72
33036153,48
34127343,48
13476950,48
34207696,56
17695826,72
33949427,36
34162550,56
33020184,48
27504296,131
34121695,36
34105409,48
26469192,99
33877232,48
14109000,41
21319667,118
34044101,131
27995802,72
28863357,140
28863357,129
25340352,137
34105185,48
34091559,48
30017327,313
30211690,48
24066153,48
28097622,131
28161684,138
33045939,19
34014292,115
33444043,72
34057060,314
27491134,72
34039426,314
34039446,314
33986717,48
15074352,48
6540835,105
34000513,48
26399360,48
11908024,315
33995169,226
33995138,48
11548216,48
33861333,118
6963235,108
25354962,48
33987507,48
33973175,38
33178389,48
33972058,76
33963319,67
33677544,316
33677544,215
28121321,131
15709055,317
15179830,48
13859736,56
6032128,149
33397737,48
28287680,48
8814986,56
33733987,131
12480163,48
33001024,48
33365862,48
27959844,131
33593284,306
33442100,27
33411721,48
28459815,281
33417447,26
33042237,92
7988758,48
32807935,48
33403060,48
33331881,91
33393854,123
33373359,72
33334188,318
33234946,319
33359664,48
33361456,48
33360997,48
20233366,170
32814488,48
33105245,225
27730936,320
33323085,56
28992884,321
28125536,131
33316084,179
33285166,48
33276421,56
19413589,56
33222097,48
33261686,241
23683468,221
25442926,322
33190581,48
33257676,306
28991831,56
33234929,48
33245855,9
33230363,48
27745969,48
33223983,48
18898175,48
27964083,74
33131194,9
12480148,41
33138818,48
32727754,48
33102394,48
11726964,48
21007691,228
33077606,48
25458498,48
8263526,323
26857324,217
27834437,48
20889591,324
26854882,48
32992796,48
19476699,56
11950118,325
32992800,48
32983873,48
28655813,87
11733420,48
28311584,27
17736259,254
32846251,48
19481226,250
26559105,48
18218424,56
32890346,140
32890346,129
19449206,63
29037198,48
32900614,326
33022964,48
12387673,48
19685787,181
28222073,48
15681062,10
27815775,124
32824624,48
32981970,232
32824668,19
32824533,19
32807692,327
28245468,123
32791808,56
32788720,56
5996885,72
32784255,19
9806485,48
28863384,72
19459009,140
19459009,175
1809060,293
32716605,19
26639292,328
32720718,56
32711163,329
28045765,48
32682400,329
31396257,48
28653245,48
32698405,48
27169323,35
31720118,56
29994002,56
30249825,48
29037147,48
11948078,77
30118358,56
19116110,48
19255369,297
25149604,72
27721668,330
26364719,331
19103310,98
17826430,77
28029571,86
27931447,56
27715536,332
17762532,333
17642713,48
28145777,165
28145777,154
27508226,48
6696563,48
26868008,48
8616822,315
17653657,126
27159278,56
8471366,77
21143949,168
28035364,72
19106143,250
6440796,72
25428139,56
28046665,334
17497728,48
28038837,335
6651155,149
17722145,134
27962134,48
12116949,72
27952443,145
27718784,26
26819506,48
27948908,28
15292453,336
8380718,48
27952475,149
12473799,48
8555099,56
33043634,48
5599650,173
27921655,72
27917155,63
26023536,63
26268028,91
27739471,71
33861244,48
27733187,48
27577544,19
15338329,56
16797716,48
27539856,56
25130288,337
25321348,338
11488943,77
25314663,71
26325102,48
26325096,48
27509662,48
5961553,48
25775486,305
24920415,155
6280983,56
27456777,329
15240048,94
15353882,85
7915242,48
12666309,127
11741456,48
25233773,72
27138764,36
19630008,339
27118347,48
26086781,48
26875831,98
13354701,48
26858953,108
26792268,48
27004241,72
26986908,205
23903417,85
26894148,9
15327280,118
14140769,74
26862100,15
26328336,48
20209996,216
20209996,154
26790096,48
26808842,56
26731875,58
26101285,56
26772195,9
26790666,9
25432480,24
19102676,48
25453927,72
26335749,63
26224631,48
15106339,48
14121783,72
20197907,220
20156697,340
8128439,341
26590750,48
7903772,92
26536608,140
26536608,288
11695843,56
26450377,205
26454807,48
26432345,342
25312134,91
25451870,48
33996550,48
28040588,140
28040588,129
20950000,343
25568967,9
25272087,63
25437734,344
13979482,48
25456261,155
25447663,56
25369844,140
25369844,235
13455122,72
25409292,287
25405021,74
27726612,77
25338450,48
25352180,48
24814925,48
25353672,48
24973320,48
12996907,56
17757563,56
24960337,118
9738873,48
11039279,48
24164927,63
13412922,48
7370604,56
25064567,118
12287077,56
21390152,345
6662044,105
25219214,48
25223013,41
17836722,346
25137118,72
20054353,144
25184748,48
8180440,56
25043559,124
16710665,48
25188798,39
19494274,133
4408947,56
25003227,347
28118264,56
25065928,72
24923802,63
6632761,81
24993350,86
20263855,124
24982787,72
24981209,74
12500056,63
16959077,109
24134294,72
24038583,72
506280,99
23914919,61
34080461,26
15028608,48
33953078,56
23287842,48
32601216,348
10818052,118
12073351,349
24067964,48
23874854,86
15745917,72
2556005,149
10813505,92
27945236,149
32799954,56
34473941,350
34393215,18
6948887,48
34261420,48
27689700,131
34322800,48
6983495,48
24950470,168
8587882,118
33969108,48
20305862,78
14067881,48
25091259,56
32842412,48
23330076,72
9715543,114
11434471,48
23273136,69
23263886,56
32842444,40
23195941,351
11677621,48
14790177,27
2493165,126
33989010,58
12643528,48
8850621,67
13087013,41
6401503,56
21012277,41
16740664,124
21268733,173
17531564,56
21319629,118
19447845,352
21248306,56
33248572,353
4972219,56
33083251,15
21010405,48
21012921,48
20376459,56
20995215,48
33016679,15
10844805,48
20792600,77
2437849,48
11929810,77
19808432,140
19808432,300
19274871,308
8851172,48
12296395,72
20220998,354
32775591,56
32695842,48
20303138,56
19944624,355
20093041,356
19900198,56
17749596,72
19924371,56
19942520,56
