poi_id,region_id
34107011,1
7298673,7
34435229,2
15349135,1
15236695,3
15232813,1
14067857,1
15113015,1
34462698,2
12703358,1
11648395,1
15058908,4
4757835,1
8071607,1
13485265,3
14986133,1
14199295,3
25558644,3
13934152,1
25275416,1
25188818,3
8300103,8
12833172,1
25094305,1
7112058,1
12892793,3
32788038,1
14956572,1
14067872,1
13108124,1
12821921,1
31632380,1
12598378,1
17376382,1
10841527,1
12454068,10
15349040,1
28031993,1
24892850,14
12184254,1
11879438,1
6872379,1
2357943,1
7160356,2
11799786,2
3702217,1
11624517,1
6956983,1
8291614,2
11443980,1
11436634,2
11435974,1
10832493,1
25273033,3
10820677,1
9996659,1
7940542,1
27494209,1
9974377,1
14790415,1
19717967,1
8099398,2
13518067,1
8861035,3
21023379,21
8380711,4
8017895,2
7928953,2
27463171,2
12504892,1
2527516,1
26322759,1
10388517,1
8783388,1
11510519,1
25307438,1
11443619,1
33761555,1
6628601,1
4972796,1
10700975,2
14010832,3
14928546,1
15334311,1
29565819,3
30762582,3
29573642,3
33023587,3
33472573,1
23997911,1
24966625,1
25100614,8
20033877,3
23578019,1
25032452,1
26853386,4
34382622,1
34363210,1
34231065,1
317902,1
4473400,1
7931717,1
27101627,2
34348392,2
14795415,2
20923745,1
